PERMNO,date,TICKER,PRC,VOL,RET
10107,2024-01-02,MSFT,370.87000,25134559,-0.013749
10107,2024-01-03,MSFT,370.60001,22992351,-0.000728
10107,2024-01-04,MSFT,367.94000,20657385,-0.007178
10107,2024-01-05,MSFT,367.75000,20884293,-0.000516
10107,2024-01-08,MSFT,374.69000,22953632,0.018872
10107,2024-01-09,MSFT,375.79001,20721875,0.002936
10107,2024-01-10,MSFT,382.76999,25386887,0.018574
10107,2024-01-11,MSFT,384.63000,27685927,0.004859
10107,2024-01-12,MSFT,388.47000,21557503,0.009984
10107,2024-01-16,MSFT,390.26999,27042389,0.004634
10107,2024-01-17,MSFT,389.47000,22113120,-0.002050
10107,2024-01-18,MSFT,393.87000,23247255,0.011297
10107,2024-01-19,MSFT,398.67001,29158131,0.012187
10107,2024-01-22,MSFT,396.51001,26740989,-0.005418
10107,2024-01-23,MSFT,398.89999,20609127,0.006028
10107,2024-01-24,MSFT,402.56000,25249179,0.009175
10107,2024-01-25,MSFT,404.87000,20890798,0.005738
10107,2024-01-26,MSFT,403.92999,17703338,-0.002322
10107,2024-01-29,MSFT,409.72000,24363272,0.014334
10107,2024-01-30,MSFT,408.59000,33039497,-0.002758
10107,2024-01-31,MSFT,397.57999,47477125,-0.026946
10107,2024-02-01,MSFT,403.78000,30408416,0.015594
10107,2024-02-02,MSFT,411.22000,28051784,0.018426
10107,2024-02-05,MSFT,405.64999,25195782,-0.013545
10107,2024-02-06,MSFT,405.48999,18309006,-0.000394
10107,2024-02-07,MSFT,414.04999,22225577,0.021110
10107,2024-02-08,MSFT,414.10999,21150698,0.000145
10107,2024-02-09,MSFT,420.54999,21904286,0.015551
10107,2024-02-12,MSFT,415.26001,21018029,-0.012579
10107,2024-02-13,MSFT,406.32001,27528133,-0.021529
10107,2024-02-14,MSFT,409.48999,20242861,0.009648
10107,2024-02-15,MSFT,406.56000,21641713,-0.007155
10107,2024-02-16,MSFT,404.06000,22947447,-0.006149
10107,2024-02-20,MSFT,402.79001,24190848,-0.003143
10107,2024-02-21,MSFT,402.17999,18504506,-0.001514
10107,2024-02-22,MSFT,411.64999,26892696,0.023547
10107,2024-02-23,MSFT,410.34000,16203109,-0.003182
10107,2024-02-26,MSFT,407.54001,16111425,-0.006824
10107,2024-02-27,MSFT,407.48001,14768417,-0.000147
10107,2024-02-28,MSFT,407.72000,13078416,0.000589
10107,2024-02-29,MSFT,413.64001,31753780,0.014520
10107,2024-03-01,MSFT,415.50000,17697230,0.004497
10107,2024-03-04,MSFT,414.92001,17486701,-0.001396
10107,2024-03-05,MSFT,402.64999,26711311,-0.029572
10107,2024-03-06,MSFT,402.09000,22181294,-0.001391
10107,2024-03-07,MSFT,409.14001,18551976,0.017533
10107,2024-03-08,MSFT,406.22000,17880234,-0.007137
10107,2024-03-11,MSFT,404.51999,15986217,-0.004185
10107,2024-03-12,MSFT,415.28000,22315583,0.026599
10107,2024-03-13,MSFT,415.10001,16981062,-0.000433
10107,2024-03-14,MSFT,425.22000,33751353,0.024380
10107,2024-03-15,MSFT,416.42001,44891350,-0.020695
10107,2024-03-18,MSFT,417.32001,19949874,0.002161
10107,2024-03-19,MSFT,421.41000,19668221,0.009801
10107,2024-03-20,MSFT,425.23001,17676370,0.009065
10107,2024-03-21,MSFT,429.37000,21117664,0.009736
10107,2024-03-22,MSFT,428.73999,18010308,-0.001467
10107,2024-03-25,MSFT,422.85999,17918528,-0.013715
10107,2024-03-26,MSFT,421.64999,16627737,-0.002861
10107,2024-03-27,MSFT,421.42999,16547957,-0.000522
10107,2024-03-28,MSFT,420.72000,21727459,-0.001685
10107,2024-04-01,MSFT,424.57001,16115384,0.009151
10107,2024-04-02,MSFT,421.44000,17680351,-0.007372
10107,2024-04-03,MSFT,420.45001,16095533,-0.002349
10107,2024-04-04,MSFT,417.88000,19192050,-0.006113
10107,2024-04-05,MSFT,425.51999,16368011,0.018283
10107,2024-04-08,MSFT,424.59000,14147670,-0.002186
10107,2024-04-09,MSFT,426.28000,12383102,0.003980
10107,2024-04-10,MSFT,423.26001,16020210,-0.007085
10107,2024-04-11,MSFT,427.92999,17847191,0.011033
10107,2024-04-12,MSFT,421.89999,19103036,-0.014091
10107,2024-04-15,MSFT,413.64001,20118778,-0.019578
10107,2024-04-16,MSFT,414.57999,16633484,0.002272
10107,2024-04-17,MSFT,411.84000,15794760,-0.006609
10107,2024-04-18,MSFT,404.26999,20819157,-0.018381
10107,2024-04-19,MSFT,399.12000,30013838,-0.012739
10107,2024-04-22,MSFT,400.95999,20066222,0.004610
10107,2024-04-23,MSFT,407.57001,15608990,0.016485
10107,2024-04-24,MSFT,409.06000,14918642,0.003656
10107,2024-04-25,MSFT,399.04001,39955226,-0.024495
10107,2024-04-26,MSFT,406.32001,29332852,0.018244
10107,2024-04-29,MSFT,402.25000,19364519,-0.010017
10107,2024-04-30,MSFT,389.32999,28510241,-0.032119
10107,2024-05-01,MSFT,394.94000,23139887,0.014409
10107,2024-05-02,MSFT,397.84000,17571403,0.007343
10107,2024-05-03,MSFT,406.66000,17347804,0.022170
10107,2024-05-06,MSFT,413.54001,16857312,0.016918
10107,2024-05-07,MSFT,409.34000,19807119,-0.010156
10107,2024-05-08,MSFT,410.54001,11724973,0.002932
10107,2024-05-09,MSFT,412.32001,14613427,0.004336
10107,2024-05-10,MSFT,414.73999,13320219,0.005869
10107,2024-05-13,MSFT,413.72000,15321588,-0.002459
10107,2024-05-14,MSFT,416.56000,14994036,0.006865
10107,2024-05-15,MSFT,423.07999,22043212,0.017452
10107,2024-05-16,MSFT,420.98999,17363996,-0.004940
10107,2024-05-17,MSFT,420.20999,15230616,-0.001853
10107,2024-05-20,MSFT,425.34000,16205883,0.012208
10107,2024-05-21,MSFT,429.04001,21286679,0.008699
10107,2024-05-22,MSFT,430.51999,17917318,0.003450
10107,2024-05-23,MSFT,427.00000,17001775,-0.008176
10107,2024-05-24,MSFT,430.16000,11750822,0.007400
10107,2024-05-28,MSFT,430.32001,15481467,0.000372
10107,2024-05-29,MSFT,429.17001,15305176,-0.002672
10107,2024-05-30,MSFT,414.67001,27947098,-0.033786
10107,2024-05-31,MSFT,415.13000,47360578,0.001109
10107,2024-06-03,MSFT,413.51999,17292784,-0.003878
10107,2024-06-04,MSFT,416.07001,14512417,0.006167
10107,2024-06-05,MSFT,424.01001,16838154,0.019083
